name,latitude,longitude,TSR,total products,product names,Core Publisher,Composer Pro,Springboard Donation Forms
WHA-AM,43.105433,-89.426929,6290775,5,"Composer Pro, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, Analytics, Analytics Service: Chartbeat",0,1,0
WAER-FM,43.047826,-76.143229,1531018,12,"Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Composer Pro, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming",1,1,0
WERN-FM,43.032412,-89.384321,5409066,8,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Composer 2, Coaching & Development Conference, Distribution: iTunes Radio",1,0,0
WUWM-FM,43.03,-87.92,3886796,29,"Live Streaming, Composer Pro, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Distribution: Connected Platforms, NPR Music Video Platform, NPR Music Content, NPR Music Training, Schedule and stream API, Distribution Streaming, MSA > Music Bundle, Station Connect API, Distribution: NPR One app, Exact Target Email Marketing, Distribution: NPR.org and apps, Story API, MSA > News Bundle, NPR News Content & Marks, Sound Exchange Reporting, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
WGVU-FM,42.988062,-85.715375,1405113,6,"Analytics, Quick Pledge, Pulse, Live Streaming, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars",0,0,0
WBFO-FM,42.886901,-78.822691,1541038,28,"Story API, NPR News Content & Marks, Pulse, Live Streaming, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Distribution Streaming, NPR Music Content, Distribution: NPR One app, NPR Music Training, Distribution: Connected Platforms, Distribution: NPR.org and apps, Station Connect API, Schedule and stream API, Exact Target Email Marketing, MSA > Music Bundle, Springboard Donation Forms, NPR Music Video Platform, Distribution: iTunes Radio, Composer 2",1,1,1
KUSD-FM,42.846759,-96.963862,1705324,29,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: NPR.org and apps, Springboard Donation Forms, NPR Music Content, MSA > Music Bundle, Station Connect API, NPR Music Video Platform, Exact Target Email Marketing, NPR Music Training, Distribution: NPR One app, Schedule and stream API, Distribution Streaming, Distribution: Connected Platforms, Distribution: iTunes Radio",1,1,1
WMHT-FM,42.734263,-73.582969,1326157,14,"Mobile Site, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Distribution: iTunes Radio, Springboard Donation Forms",1,1,1
WKAR-FM,42.724305,-84.479605,3628924,12,"Analytics Service: Chartbeat, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Core Publisher, Pulse, Composer Pro, Events, Analytics Service: Google Premium, Analytics",1,1,0
WAMC-FM,42.67577,-73.786028,6739538,19,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Pulse, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, MSA > News Bundle, NPR News Content & Marks, Story API, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio",1,1,0
